iter	MultiClass
0	1.044451531
1	0.9919900031
2	0.9437360554
3	0.9134365852
4	0.8795007714
5	0.8476680729
6	0.8219607391
7	0.7976906473
8	0.7693122407
9	0.7498809412
10	0.736191349
11	0.7182324066
12	0.696558597
13	0.6803232229
14	0.6731157888
15	0.6581279639
16	0.649334443
17	0.6352274439
18	0.6254389044
19	0.6187369893
20	0.6111524662
21	0.5998708304
22	0.5940956553
23	0.585993714
24	0.5756207568
25	0.5693931182
26	0.5628416734
27	0.5565474143
28	0.554058235
29	0.5506962112
30	0.5480464585
31	0.5438700504
32	0.5402424632
33	0.5343380812
34	0.5273360975
35	0.5213205536
36	0.5194718175
37	0.5160582066
38	0.508987283
39	0.5066561064
40	0.504367481
41	0.5025871023
42	0.4964139907
43	0.4940943871
44	0.490052878
45	0.4874689496
46	0.4868117882
47	0.482577768
48	0.4781818594
49	0.4751366077
50	0.4729278466
51	0.4686740654
52	0.465623903
53	0.463465105
54	0.4610650536
55	0.4577120705
56	0.4560833831
57	0.4547472629
58	0.4531574071
59	0.451906155
60	0.4508970284
61	0.4490548316
62	0.4471355134
63	0.4457820534
64	0.4425963541
65	0.439806361
66	0.4384297531
67	0.4370438082
68	0.4353140126
69	0.4333430264
70	0.4307889024
71	0.4281842224
72	0.4267557152
73	0.4250238557
74	0.4231049394
75	0.4214307348
76	0.4195789127
77	0.4180693256
78	0.4157649853
79	0.4145820396
80	0.4121314259
81	0.4098479406
82	0.4079095904
83	0.4071547203
84	0.4064906776
85	0.4038391033
86	0.4015278206
87	0.3998334049
88	0.3989208763
89	0.3972424686
90	0.3963574464
91	0.3952287717
92	0.3934317795
93	0.3913832226
94	0.3901675615
95	0.3873089486
96	0.3858840158
97	0.3851424339
98	0.3838752604
99	0.3830375331
100	0.3802826213
101	0.3788131285
102	0.377903084
103	0.3768642227
104	0.3754619727
105	0.3742897377
106	0.3731541643
107	0.3710980646
108	0.3692592332
109	0.3684199886
110	0.3679768373
111	0.3662571348
112	0.3642080078
113	0.3628535591
114	0.3619805567
115	0.3611999664
116	0.3601456052
117	0.3596421411
118	0.3583326031
119	0.3578277265
120	0.3557104761
121	0.354645698
122	0.3528463818
123	0.3511449969
124	0.34999685
125	0.3490690959
126	0.3477353546
127	0.3469346853
128	0.3460152483
129	0.344855672
130	0.3440396411
131	0.3430877074
132	0.3418975885
133	0.3410055859
134	0.340209214
135	0.3395111658
136	0.3382036909
137	0.3373445271
138	0.3365519307
139	0.335479609
140	0.3339727801
141	0.333438193
142	0.3327256017
143	0.3318122183
144	0.3310345473
145	0.3297095414
146	0.3288915774
147	0.3281940114
148	0.3274642042
149	0.3267467035
150	0.3262849823
151	0.3256263179
152	0.3251952584
153	0.3245178285
154	0.3233120519
155	0.3222941439
156	0.3218208967
157	0.3213048087
158	0.3205529794
159	0.3199166885
160	0.3191250887
161	0.3183448092
162	0.3176646632
163	0.3168857361
164	0.3161241618
165	0.3150180498
166	0.3143628921
167	0.314265598
168	0.3137478688
169	0.3127689562
170	0.3120318849
171	0.3112452313
172	0.3100655899
173	0.3092114549
174	0.3084520163
175	0.3078345899
176	0.30706755
177	0.306316221
178	0.3056410973
179	0.3046196208
180	0.3041996919
181	0.3033435703
182	0.3030764
183	0.3023464746
184	0.3007950194
185	0.2997974654
186	0.2995261908
187	0.2992026803
188	0.2979095597
189	0.2971704264
190	0.2959683328
191	0.294834225
192	0.2944855258
193	0.2938166474
194	0.2929562753
195	0.2923550954
196	0.2916528829
197	0.2914633608
198	0.2904827915
199	0.2895453705
200	0.2888814277
201	0.28833658
202	0.2878511944
203	0.2867729636
204	0.2862465554
205	0.2858696131
206	0.2857051632
207	0.2851398389
208	0.2844928837
209	0.2838020975
210	0.2834218328
211	0.2826974666
212	0.2823573467
213	0.2813206272
214	0.2806312611
215	0.2797144216
216	0.2789132935
217	0.278598036
218	0.2780921473
219	0.2778603702
220	0.2775364201
221	0.2769796083
222	0.2761358303
223	0.2755924719
224	0.2748667787
225	0.2740254818
226	0.2732189894
227	0.2724386736
228	0.2718411178
229	0.2710752104
230	0.2706301285
231	0.2702925338
232	0.2697293254
233	0.2692155037
234	0.2686620968
235	0.2680253039
236	0.2676732317
237	0.2671810251
238	0.2668925562
239	0.2664331746
240	0.2659427935
241	0.2647894448
242	0.2641912256
243	0.263301991
244	0.2630589578
245	0.2626244609
246	0.2619245248
247	0.2613342466
248	0.2611436746
249	0.2607413989
250	0.2603154852
251	0.2597478383
252	0.2593179753
253	0.2586465215
254	0.2584359415
255	0.2579890601
256	0.2574204207
257	0.2567258916
258	0.2561625695
259	0.2556153438
260	0.2552943286
261	0.2550375855
262	0.2542966778
263	0.2540551576
264	0.2534409837
265	0.2530825325
266	0.2525322474
267	0.2522792226
268	0.2520136291
269	0.2514602592
270	0.2510573379
271	0.2507818486
272	0.2504520603
273	0.2499040239
274	0.2496549148
275	0.2493045286
276	0.2484737092
277	0.248071959
278	0.2477494819
279	0.2472823414
280	0.246758619
281	0.2463426178
282	0.2459140497
283	0.2456654933
284	0.2450901865
285	0.2447778819
286	0.2444953551
287	0.2442348844
288	0.2438898071
289	0.2432440887
290	0.2428283511
291	0.2426504108
292	0.2415524528
293	0.2411459914
294	0.240737315
295	0.2405847755
296	0.2401551786
297	0.2394874319
298	0.2392343686
299	0.2389286436
