iter	Passed	Remaining
0	145	43458
1	146	21899
2	148	14722
3	151	11191
4	153	9030
5	154	7580
6	156	6551
7	158	5799
8	160	5187
9	162	4699
10	163	4302
11	166	3993
12	168	3715
13	169	3471
14	171	3261
15	173	3076
16	174	2912
17	176	2767
18	178	2639
19	180	2528
20	182	2423
21	183	2324
22	185	2233
23	187	2151
24	188	2075
25	190	2004
26	191	1940
27	193	1880
28	195	1828
29	197	1779
30	199	1729
31	201	1685
32	202	1642
33	204	1600
34	206	1562
35	207	1525
36	209	1489
37	212	1463
38	213	1430
39	215	1400
40	217	1371
41	218	1343
42	220	1315
43	221	1289
44	223	1265
45	225	1242
46	227	1226
47	229	1205
48	231	1184
49	232	1164
50	234	1144
51	235	1124
52	237	1105
53	238	1088
54	240	1071
55	243	1061
56	245	1044
57	246	1029
58	248	1013
59	249	998
60	251	984
61	253	971
62	254	957
63	256	944
64	258	936
65	260	924
66	262	913
67	264	900
68	265	889
69	267	878
70	268	867
71	270	857
72	273	851
73	275	840
74	276	830
75	278	821
76	280	811
77	281	801
78	283	792
79	285	783
80	287	776
81	289	768
82	290	760
83	292	752
84	294	743
85	295	735
86	297	727
87	298	719
88	300	712
89	302	705
90	304	699
91	305	691
92	307	684
93	309	677
94	310	670
95	312	663
96	313	656
97	318	657
98	322	655
99	325	650
100	327	645
101	329	638
102	330	632
103	332	626
104	334	621
105	336	615
106	338	609
107	339	603
108	341	597
109	342	592
110	344	586
111	346	581
112	347	575
113	350	571
114	351	565
115	353	560
116	355	555
117	356	549
118	358	544
119	359	539
120	361	534
121	363	529
122	365	526
123	367	521
124	369	516
125	370	512
126	372	507
127	374	502
128	376	498
129	377	493
130	379	489
131	381	485
132	383	481
133	384	476
134	386	472
135	387	467
136	389	463
137	391	459
138	392	454
139	394	450
140	396	447
141	398	443
142	399	439
143	401	434
144	402	430
145	404	426
146	406	422
147	407	418
148	409	414
149	411	411
150	413	407
151	414	404
152	416	400
153	418	396
154	420	392
155	421	389
156	423	385
157	424	381
158	427	378
159	428	375
160	430	371
161	432	368
162	433	364
163	435	361
164	437	357
165	438	354
166	440	351
167	442	347
168	444	344
169	446	341
170	448	338
171	449	334
172	451	331
173	453	328
174	454	324
175	457	322
176	459	319
177	461	315
178	462	312
179	464	309
180	466	306
181	467	303
182	469	300
183	472	297
184	473	294
185	475	291
186	477	288
187	478	285
188	480	282
189	482	279
190	483	276
191	485	273
192	488	270
193	490	267
194	492	265
195	493	262
196	495	258
197	496	255
198	498	252
199	500	250
200	502	247
201	503	244
202	505	241
203	507	238
204	508	235
205	510	232
206	511	229
207	513	227
208	515	224
209	517	221
210	519	219
211	521	216
212	522	213
213	524	210
214	525	207
215	527	205
216	528	202
217	530	199
218	532	197
219	534	194
220	536	191
221	538	189
222	539	186
223	541	183
224	542	180
225	544	178
226	546	175
227	549	173
228	551	170
229	552	168
230	554	165
231	555	162
232	557	160
233	559	157
234	560	155
235	562	152
236	565	150
237	566	147
238	568	145
239	569	142
240	571	139
241	572	137
242	574	134
243	575	132
244	577	129
245	580	127
246	582	124
247	583	122
248	585	119
249	586	117
250	588	114
251	589	112
252	591	109
253	593	107
254	595	105
255	597	102
256	599	100
257	601	97
258	603	95
259	605	93
260	606	90
261	609	88
262	611	85
263	612	83
264	614	81
265	616	78
266	618	76
267	621	74
268	623	71
269	626	69
270	629	67
271	631	65
272	633	62
273	635	60
274	636	57
275	638	55
276	641	53
277	642	50
278	644	48
279	645	46
280	647	43
281	649	41
282	651	39
283	652	36
284	654	34
285	657	32
286	658	29
287	660	27
288	661	25
289	663	22
290	665	20
291	666	18
292	668	15
293	671	13
294	673	11
295	674	9
296	676	6
297	678	4
298	681	2
299	684	0
